playerID,URL,nameShort,nameLong,position,positionSort,minutes,ortg,usg,fg,pt3,ft,stl,turnovers,oreb,dreb,ast,blk,personalFouls,technicalFouls,ejected,points,fg_made,fg_attempted,fg_missed,pt3_made,pt3_attempted,pt3_missed,ft_made,ft_attempted,ft_missed
5329,/basketball/player/jalen-johnson-5329,J. Johnson,Jalen Johnson,F,0,35,136.6,20.2,	8-14,	0-3,	1-1,2,1,2,9,7,0,2,0,0,17,8.0,14.0,6.0,0.0,3.0,3.0,1.0,1.0,0.0
6249,/basketball/player/zaccharie-risacher-6249,Z. Risacher,Zaccharie Risacher,F,0,19,64.1,19.4,	2-5,	1-4,	0-0,0,3,0,0,1,0,1,0,0,5,2.0,5.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0
3587,/basketball/player/clint-capela-3587,C. Capela,Clint Capela,C,1,26,85.3,15.9,	2-6,	0-0,	0-0,1,3,4,4,2,0,2,0,0,4,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5385,/basketball/player/dyson-daniels-5385,D. Daniels,Dyson Daniels,G,2,34,94.8,17.3,	4-10,	1-2,	1-2,8,2,0,4,4,2,1,0,0,10,4.0,10.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0
4369,/basketball/player/trae-young-4369,T. Young,Trae Young,G,2,31,124.3,36.8,	8-15,	4-7,	9-12,0,5,0,2,7,0,2,0,0,29,8.0,15.0,7.0,4.0,7.0,3.0,9.0,12.0,3.0
4776,/basketball/player/deandre-hunter-4776,D. Hunter,De''Andre Hunter,F,3,28,129.1,23.6,	5-9,	3-7,	6-6,0,3,0,4,2,0,3,0,0,19,5.0,9.0,4.0,3.0,7.0,4.0,6.0,6.0,0.0
4990,/basketball/player/garrison-mathews-4990,G. Mathews,Garrison Mathews,G,3,26,191.5,19.5,	7-8,	7-8,	4-5,2,1,0,2,1,1,2,0,0,25,7.0,8.0,1.0,7.0,8.0,1.0,4.0,5.0,1.0
3723,/basketball/player/larry-nance-jr-3723,L. Nance Jr.,Larry Nance Jr.,C,3,21,157.9,8.8,	2-4,	2-4,	0-0,2,0,0,4,2,3,1,0,0,6,2.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0
5233,/basketball/player/vit-krejci-5233,V. Krejci,Vit Krejci,G,3,17,60.3,10.8,	1-2,	0-1,	0-0,0,2,0,3,1,0,0,0,0,2,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5453,/basketball/player/keaton-wallace-5453,K. Wallace,Keaton Wallace,G,3,1,-,-,	0-0,	0-0,	0-0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5713,/basketball/player/david-roddy-5713,D. Roddy,David Roddy,F,3,1,-,-,	0-0,	0-0,	0-0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,Total,Game Total,-,4,"<span style=""font-weight:bold;"">240</span>",-,-,"	<span style=""font-weight:bold;"">39-73</span>","	<span style=""font-weight:bold;"">18-36</span>","	<span style=""font-weight:bold;"">21-26</span>","<span style=""font-weight:bold;"">15</span>","<span style=""font-weight:bold;"">21</span>","<span style=""font-weight:bold;"">6</span>","<span style=""font-weight:bold;"">32</span>","<span style=""font-weight:bold;"">27</span>","<span style=""font-weight:bold;"">6</span>","<span style=""font-weight:bold;"">14</span>",-,-,"<span style=""font-weight:bold;"">117</span>",39.0,73.0,34.0,18.0,36.0,18.0,21.0,26.0,5.0
0,,,,,4,,,,"	<span style=""font-weight:bold;"">53.4%</span>","	<span style=""font-weight:bold;"">50.0%</span>","	<span style=""font-weight:bold;"">80.8%</span>","<span style=""font-weight:bold;"">14.8%</span>","<span style=""font-weight:bold;"">21.0%</span>","<span style=""font-weight:bold;"">18.2%</span>","<span style=""font-weight:bold;"">66.7%</span>","<span style=""font-weight:bold;"">69.2%</span>","<span style=""font-weight:bold;"">12.5%</span>",,,,"<span style=""font-weight:bold;"">1.17</span>",,,,,,,,,
